"","logFC","logCPM","PValue","FDR"
"ENSG00000113073",-6.86705126721444,2.8388231826207,3.27527306276362e-120,1.66989797105003e-117
"ENSG00000122121",-6.71488439112303,6.22769052434763,3.55150485238701e-119,1.76657048681904e-116
"ENSG00000248115",-7.09127916215305,1.00101085120286,2.72622350094019e-118,1.32377623995653e-115
"ENSG00000075673",-6.79258209208512,2.76579936771152,2.85916153147079e-118,1.35604047146082e-115
"ENSG00000163631",-6.59756982792698,5.82364189051553,4.04300521461753e-116,1.87393291697523e-113
"ENSG00000104332",-6.58787272644313,6.96889409437944,7.006214815176e-116,3.17521655423776e-113
"ENSG00000158955",-6.66597071979448,2.57888639571188,7.41125244174497e-115,3.28576265862928e-112
"ENSG00000107165",-6.65147951861218,2.59676160352713,1.51564236608754e-114,6.57659796042324e-112
"ENSG00000008196",-6.4773762070554,4.04364840429476,6.11900648484914e-113,2.59981288025028e-110
"ENSG00000168447",-6.46699211847392,5.14349047816145,1.02080776898996e-112,4.24864360015944e-110
"ENSG00000167580",-6.45060354479922,10.1783332655235,2.47230099172249e-112,1.00840212850377e-109
"ENSG00000170549",-6.56125403911632,2.29113297750833,9.38814090906597e-112,3.75415187646062e-109
"ENSG00000170561",-6.45880457120653,3.02432960079774,1.45361352189851e-110,5.7009604164612e-108
"ENSG00000118733",-7.4450725144875,-0.524277261940932,8.93977229806936e-110,3.43995691031748e-107
"ENSG00000188816",-7.32501441340405,-0.45980830193459,6.00975041195115e-109,2.26968240558022e-106
"ENSG00000166828",-6.29220033118848,5.98288714239315,3.21705358029972e-108,1.19288346757514e-105
"ENSG00000186115",-6.26594593424134,4.43235397624018,1.70875231910922e-107,6.22290978498453e-105
"ENSG00000124157",-8.69222411724453,-1.48564545043994,9.46788909456728e-107,3.3875110560457e-104
"ENSG00000138798",-6.22455094163286,7.24158581878573,1.71857462555371e-106,6.04286395061075e-104
"ENSG00000197408",-6.3234935738983,2.43638426432178,2.20696550393448e-106,7.62861940461692e-104
"ENSG00000177133",-6.20607978252073,5.33462392847946,5.49430920746553e-106,1.86751569961753e-103
"ENSG00000145708",-6.19518083061406,3.7595223478082,1.25908474096191e-105,4.20947118150446e-103
"ENSG00000239572",-7.25527588883359,-0.749458176830979,2.56677038661939e-104,8.4430185910832e-102
"ENSG00000169035",-6.26784728041557,1.32003580846699,2.63071787436405e-102,8.51600957615562e-100
"ENSG00000276076",-8.51164820014223,-1.64672544147643,3.02285873494738e-102,9.63252828758077e-100
"ENSG00000172969",-6.55978640868699,0.0262045169826957,2.04664820830009e-101,6.42143747078031e-99
"ENSG00000179270",-7.52340055762596,-1.17337617110663,2.08699014035935e-101,6.4487995337104e-99
"ENSG00000122194",-6.0198879550691,6.47969316783663,3.11674576471187e-101,9.48700195903492e-99
"ENSG00000230027",-7.34561804000144,-1.05402864843049,3.27998675069814e-101,9.83706614613794e-99
"ENSG00000173612",-6.95658776787209,-0.685191589503234,5.15423005578963e-101,1.52341112692426e-98
"ENSG00000143839",-5.96675154746703,4.20279516941586,8.43286115925453e-100,2.45685386402624e-97
"ENSG00000248713",-6.1145452573053,1.53137673788965,1.74456036900339e-99,5.01106537541621e-97
"ENSG00000147606",-5.95046667486172,5.7952666275959,1.90181440956858e-99,5.38688931510301e-97
"ENSG00000163586",-5.9455468354302,4.52642498820589,2.80926346121759e-99,7.84823548329748e-97
"ENSG00000226741",-7.24871289570433,-1.14256719211882,8.93261445037924e-99,2.46178025812208e-96
"ENSG00000263862",-6.21566372774741,0.635462318951639,2.04777915155238e-98,5.56832106890123e-96
"ENSG00000260440",-7.07708824588327,-1.06644680598077,8.97283824012137e-98,2.40779030353994e-95
"ENSG00000160951",-5.94960302375149,2.08657687659136,7.64031799817465e-97,2.02359279551654e-94
"ENSG00000185053",-7.20055099946935,-1.25106636534534,1.29281552004057e-96,3.38021534816762e-94
"ENSG00000171431",9.4612948850816,3.30411697095502,3.89157508637417e-95,1.00461749761411e-92
"ENSG00000135374",-5.75022049002071,3.84628325844084,2.90904848071091e-94,7.41589183945229e-92
"ENSG00000165621",-5.98366424454751,0.79800949803692,3.45765147770956e-94,8.70559805387762e-92
"ENSG00000136872",-5.73909177295795,10.4935677215484,4.20217676840355e-94,1.04511210993685e-91
"ENSG00000171724",-5.73382267236836,2.87596312833711,9.94406931850075e-94,2.44336565881331e-91
"ENSG00000184811",-6.76298160545423,-1.15414944057468,1.44319611838158e-92,3.50387400455641e-90
"ENSG00000166869",-6.13908437176658,-0.316898491289484,3.44958906366796e-91,8.27657874875816e-89
"ENSG00000186510",-5.61968748771774,6.64324336493864,4.54440351813229e-91,1.07765773661384e-88
"ENSG00000169836",-6.80935148381005,-1.36265959944245,2.30899782129353e-90,5.41260937557013e-88
"ENSG00000164188",-5.56237030604096,4.65049606041015,1.42601671703911e-89,3.30479374173813e-87
"ENSG00000184937",-5.5661901047453,2.78389415055048,1.7640164400752e-89,4.04217430099929e-87
"ENSG00000117707",-5.5139907008847,3.75226611464641,2.6989993449949e-88,6.11593251575845e-86
"ENSG00000215475",-5.65648929215524,1.2003074531148,3.47926976068234e-88,7.79738763729182e-86
"ENSG00000135346",-7.1636425272872,-1.84134348230921,7.79915480533785e-87,1.72886916413109e-84
"ENSG00000244067",-5.41527111837001,5.44000929041896,6.47940012520579e-86,1.42086974358545e-83
"ENSG00000128045",-5.90340000721872,-0.469526070654604,8.55791351812513e-86,1.83757936419065e-83
"ENSG00000236922",-6.17724825537955,-1.01127402070228,8.55987249181681e-86,1.83757936419065e-83
"ENSG00000014257",-5.40492354272601,3.93337630032974,1.39910237600997e-85,2.97221811003619e-83
"ENSG00000070193",-6.28428342050394,-1.19196901469656,1.76314141413079e-85,3.70695938142095e-83
"ENSG00000177807",-5.3923305968391,5.34201596535913,2.43935170606122e-85,5.07634068300128e-83
"ENSG00000163395",8.09240174166275,4.89275889052532,5.95501634786574e-85,1.22673336766034e-82
"ENSG00000158104",-5.37477999609162,6.79050806045654,6.26795024556746e-85,1.27828577308103e-82
"ENSG00000198569",-5.37513103511524,3.07207584003798,9.65257389038789e-85,1.9490553655502e-82
"ENSG00000122133",10.453086104342,1.14342197309695,2.10089125746516e-84,4.20054669654358e-82
"ENSG00000131183",-5.35343924506614,6.17940639319675,2.17518744310417e-84,4.30687113734625e-82
"ENSG00000102837",-5.46902992679658,1.41183238696603,2.30049105634894e-84,4.51117448107504e-82
"ENSG00000253300",-6.24178073511963,-1.26445200898254,4.75283273840661e-84,9.23135913019662e-82
"ENSG00000187821",-7.27789810482595,-2.07109872751816,6.96001694259756e-84,1.33908099554089e-81
"ENSG00000004846",8.11080146200747,3.79876535494929,1.8349058875003e-83,3.49729632426927e-81
"ENSG00000149452",-5.30046276475838,7.42767424583624,4.37644369039092e-83,8.26418450202152e-81
"ENSG00000198691",-5.29696445783747,3.54560858422351,7.41516668984294e-83,1.38738449057483e-80
"ENSG00000130829",-5.28558042068348,5.60305747052557,1.08893289437234e-82,2.01888158616631e-80
"ENSG00000036828",-5.28064498325125,5.90236993875039,1.42104787583786e-82,2.61088742160697e-80
"ENSG00000228742",8.71107696619128,1.71688054023676,2.40818615678494e-80,4.38504897156001e-78
"ENSG00000145808",-6.10097973253306,-1.42435021724105,3.18994349451462e-80,5.75714226788772e-78
"ENSG00000109684",-5.22928527101464,1.93276937192592,1.41578542461296e-79,2.53276560961024e-77
"ENSG00000171004",-5.12461780751886,4.12640421626709,1.20159830777111e-78,2.13090399032035e-76
"ENSG00000186766",-5.27714559729297,0.701325696294962,2.02447179855565e-78,3.55923084997792e-76
"ENSG00000184956",-5.22932214813839,0.970535557024019,5.32786390560135e-78,9.28687662314819e-76
"ENSG00000152822",-5.1583675637741,1.5190602255192,2.24755153678874e-77,3.88445474926013e-75
"ENSG00000091137",-5.06809004015705,2.46912154663869,4.81844366672663e-77,8.25775967556494e-75
"ENSG00000155816",-5.23105400321934,0.49038997729655,7.90379635950446e-77,1.34325019129778e-74
"ENSG00000173335",-6.41680443027411,-2.06954228505271,1.64823588362155e-75,2.77802666203122e-73
"ENSG00000138435",8.44745778986627,1.25304482785302,1.68746828263431e-75,2.82083837344624e-73
"ENSG00000162365",-4.99056956823783,3.47679105639814,2.63093294225121e-75,4.36221515644482e-73
"ENSG00000174514",-4.9705105564858,7.4416755602779,5.81202332978017e-75,9.55890353125297e-73
"ENSG00000164530",-5.14663143001821,0.303379463284191,1.92143146791439e-74,3.13485386853168e-72
"ENSG00000134240",-4.94341912102341,6.20095887793461,2.73969266809092e-74,4.43438827563859e-72
"ENSG00000119715",-4.94390846268426,4.30205108134121,3.08655461757961e-74,4.95647203708019e-72
"ENSG00000226695",9.67398616590673,0.380901278797077,3.79664409386311e-74,6.04912184767533e-72
"ENSG00000226476",7.39220367325426,3.17034278696694,4.12423865003197e-74,6.52013356812032e-72
"ENSG00000214128",-4.93446495066256,7.06299174982099,4.41635197859306e-74,6.92823709626361e-72
"ENSG00000035720",-4.9422753530283,2.89831749545686,4.70072080069265e-74,7.3180534358264e-72
"ENSG00000164325",-4.90873822603424,5.0414130641883,2.03863154925921e-73,3.14968574360549e-71
"ENSG00000102243",-4.99436608989089,1.24082058785956,3.4419846060515e-73,5.27788225983566e-71
"ENSG00000113946",-4.88519541290964,5.27705391736229,7.45797372404748e-73,1.13505907558376e-70
"ENSG00000172987",-5.21590548465652,-0.457674450508274,7.77694564209624e-73,1.17483725499934e-70
"ENSG00000278898",-4.94454322463128,1.47975451561085,2.15062502175771e-72,3.2249887274799e-70
